Date,Price
2018/7/18,1940.739863
2018/7/19,2116.121824
2018/7/20,2064.199533
2018/7/23,2210.735777
2018/7/24,2283.426985
2018/7/25,2324.964818
2018/7/26,2307.657388
2018/7/27,2353.810535
2018/7/30,2308.811216
2018/7/31,2290.349957
2018/8/1,2526.884839
2018/8/2,2067.661019
2018/8/3,2067.661019
2018/8/24,2209.581949
2018/8/27,2288.0423
2018/8/28,2345.733734
2018/8/29,2301.888244
2018/8/30,2296.119101
2018/8/31,2365.348822
2018/9/3,2433.424715
2018/9/4,2256.888925
2018/9/5,2256.888925
2018/9/6,2351.502878
2018/9/7,2472.654891
2018/9/10,2556.884385
2018/9/11,2489.962321
2018/9/12,2582.268617
2018/9/13,2608.806677
2018/9/14,2560.345871
2018/9/17,2568.422672
2018/9/18,2540.730784
2018/9/19,2561.4997
2018/9/20,2569.576501
2018/9/21,2515.346552
2018/9/25,2623.80645
2018/9/26,2680.344056
2018/9/27,2663.036625
2018/9/28,2780.727152
2018/10/8,2963.032086
2018/10/9,3191.490167
2018/10/10,3509.946886
2018/10/12,2657.267482
2018/10/15,2521.115696
2018/10/16,2311.118874
2018/10/17,2165.736458
2018/10/18,2228.043208
2018/10/19,2226.889379
2018/10/22,2251.119782
2018/10/23,2225.73555
2018/10/24,2211.889606
2018/10/25,2306.503559
2018/10/26,2261.50424
2018/10/29,2352.656707
2018/10/30,2389.579225
2018/10/31,2389.579225
2018/11/1,2410.348141
2018/11/2,2343.426077
2018/11/5,2328.426304
2018/11/6,2334.195448
2018/11/7,2336.503105
2018/11/8,2286.888471
2018/11/9,2351.502878
2018/11/12,2184.197717
2018/11/13,2024.969358
2018/11/14,2024.969358
2018/11/15,1878.433113
2018/11/16,1841.510595
2018/11/19,1760.742587
2018/11/20,1708.820295
2018/11/21,1626.898458
2018/11/22,1524.207704
2018/11/23,1473.439242
2018/11/26,1521.900047
2018/11/27,1587.668283
2018/11/28,1700.743495
2018/11/29,1556.514908
2018/11/30,1737.666013
2018/12/3,1825.356994
2018/12/4,2006.508098
2018/12/5,2022.6617
2018/12/6,1990.354497
2018/12/7,2076.891649
2018/12/10,2057.276561
2018/12/11,1966.124094
2018/12/12,2046.892103
2018/12/13,2043.430617
2018/12/14,2042.276788
2018/12/17,2148.429028
2018/12/18,2154.198171
2018/12/19,2143.813713
2018/12/20,2164.58263
2018/12/21,2211.889606
2018/12/24,2243.042981
2018/12/25,2327.272475
2018/12/26,2463.424261
2018/12/27,2336.503105
2018/12/28,1706.512638
2019/1/2,1768.819388
2019/1/3,1857.664197
2019/1/4,1705.358809
2019/1/7,1708.820295
2019/1/8,1701.897323
2019/1/9,1699.589666
2019/1/10,1626.898458
2019/1/11,1601.514227
2019/1/14,1584.206797
2019/1/15,1546.13045
2019/1/16,1593.437426
2019/1/17,1602.668056
2019/1/18,1571.514681
2019/1/21,1615.360171
2019/1/22,1613.052514
2019/1/23,1550.745764
2019/1/24,1506.900274
2019/1/25,1521.900047
2019/1/28,1476.900728
2019/1/29,1484.977529
2019/1/30,1457.28564
2019/1/31,1424.978437
2019/2/1,1430.74758
2019/2/11,1416.901636
2019/2/12,1434.209066
2019/2/13,1503.438788
2019/2/14,1501.131131
2019/2/15,1452.670325
2019/2/18,1433.055238
2019/2/19,1435.362895
2019/2/20,1435.362895
2019/2/21,1464.208612
2019/2/22,1454.977983
2019/2/25,1405.363349
2019/2/26,1370.748488
2019/2/27,1288.826651
2019/2/28,1250.750304
2019/3/1,1171.136124
2019/3/4,1054.599426
2019/3/5,983.0620471
2019/3/6,1568.053195
2019/3/7,1593.437426
2019/3/8,1577.283824
2019/3/11,1508.054103
2019/3/12,1481.516043
2019/3/13,1464.208612
2019/3/14,1451.516497
2019/3/15,1449.208839
2019/3/18,1383.440604
2019/3/19,1504.592617
2019/3/20,1568.053195
2019/3/21,1697.282009
2019/3/22,1719.204754
2019/3/25,1796.511276
2019/3/26,1744.588985
2019/3/27,1701.897323
2019/3/28,1578.437653
2019/3/29,1543.822792
2019/4/1,1563.43788
2019/4/2,1585.360625
2019/4/3,1548.438107
2019/4/4,1524.207704
2019/4/8,1539.207477
2019/4/9,1531.130677
2019/4/10,1514.977075
2019/4/11,1559.976394
2019/4/12,1528.823019
2019/4/15,1534.592163
2019/4/16,1524.207704
2019/4/17,1464.208612
2019/4/18,1494.208158
2019/4/19,1433.055238
2019/4/22,1452.670325
2019/4/23,1456.131812
2019/4/24,1439.97821
2019/4/25,1420.363122
2019/4/26,1398.440377
2019/4/29,1428.439923
2019/4/30,1403.055692
2019/5/6,1398.440377
2019/5/7,1424.978437
2019/5/8,1451.516497
2019/5/9,1428.439923
2019/5/10,1441.132039
2019/5/13,1371.902317
2019/5/14,1367.287002
2019/5/15,1385.748261
2019/5/16,1358.056373
2019/5/17,1341.902771
2019/5/20,1319.980026
2019/5/21,1325.749169
2019/5/22,1281.903679
2019/5/23,1262.288591
2019/5/24,1299.211109
2019/5/27,1349.979572
2019/5/28,1338.441285
2019/5/29,1338.441285
2019/5/30,1337.287456
2019/5/31,1316.51854
2019/6/3,1289.98048
2019/6/4,1287.672822
2019/6/5,1284.211336
2019/6/6,1253.057961
2019/6/10,1241.519675
2019/6/11,1246.134989
2019/6/12,1302.672595
2019/6/13,1358.056373
